,0
0,kuchipudi
1,sattriya
2,mohiniyattam
3,odissi
4,kathakali
5,kuchipudi
6,kuchipudi
7,sattriya
8,kuchipudi
9,odissi
10,mohiniyattam
11,bharatanatyam
12,sattriya
13,sattriya
14,sattriya
15,bharatanatyam
16,odissi
17,bharatanatyam
18,mohiniyattam
19,odissi
20,odissi
21,kathakali
22,kathakali
23,mohiniyattam
24,mohiniyattam
25,kathakali
26,mohiniyattam
27,bharatanatyam
28,odissi
29,bharatanatyam
30,kathakali
31,odissi
32,manipuri
33,odissi
34,mohiniyattam
35,kuchipudi
36,odissi
37,odissi
38,manipuri
39,bharatanatyam
40,kathak
41,sattriya
42,odissi
43,mohiniyattam
44,mohiniyattam
45,mohiniyattam
46,sattriya
47,sattriya
48,sattriya
49,kuchipudi
50,mohiniyattam
51,mohiniyattam
52,kathak
53,kuchipudi
54,odissi
55,odissi
56,odissi
57,odissi
58,sattriya
59,sattriya
60,kathakali
61,sattriya
62,kathak
63,odissi
64,kuchipudi
65,kuchipudi
66,kathakali
67,kathakali
68,odissi
69,bharatanatyam
70,kathak
71,kuchipudi
72,odissi
73,mohiniyattam
74,kathak
75,kathakali
76,mohiniyattam
77,sattriya
78,kathakali
79,bharatanatyam
80,mohiniyattam
81,kuchipudi
82,mohiniyattam
83,kuchipudi
84,kuchipudi
85,kuchipudi
86,kathak
87,kathakali
88,manipuri
89,mohiniyattam
90,mohiniyattam
91,kathak
92,kathak
93,kuchipudi
94,kathakali
95,kathak
96,kuchipudi
97,mohiniyattam
98,sattriya
99,kuchipudi
100,kuchipudi
101,mohiniyattam
102,kathak
103,odissi
104,bharatanatyam
105,kuchipudi
106,odissi
107,kuchipudi
108,mohiniyattam
109,odissi
110,kuchipudi
111,kathakali
112,kuchipudi
113,odissi
114,kuchipudi
115,odissi
116,kathakali
117,kathakali
118,mohiniyattam
119,kuchipudi
120,odissi
121,mohiniyattam
122,sattriya
123,mohiniyattam
124,odissi
125,mohiniyattam
126,sattriya
127,sattriya
128,kuchipudi
129,odissi
130,bharatanatyam
131,kathakali
132,bharatanatyam
133,kathakali
134,kathak
135,mohiniyattam
136,kuchipudi
137,mohiniyattam
138,odissi
139,kathak
140,sattriya
141,kathak
142,kuchipudi
143,odissi
144,kathak
145,mohiniyattam
146,kathak
147,sattriya
148,manipuri
149,mohiniyattam
150,sattriya
151,sattriya
152,kathakali
153,kathak
154,odissi
155,sattriya
